model,model_label,data_role,phase,CL_alpha,CD_alpha,CL,CD,CT
6_state,6-State ULLT,author_model,0.22656250,4.22506358,-2.96154625,1.0935269212730376,-0.7665045724519511,0.7665045724519511
6_state,6-State ULLT,author_model,0.23437500,4.43350391,-3.12374866,1.147475248444492,-0.8084856453214787,0.8084856453214787
6_state,6-State ULLT,author_model,0.24218750,4.60260835,-3.25524703,1.1912426981278885,-0.8425199278774167,0.8425199278774167
6_state,6-State ULLT,author_model,0.25000000,4.771679,-3.36302356,1.235001402315751,-0.8704145464564799,0.8704145464564799
6_state,6-State ULLT,author_model,0.25781250,4.96851568,-3.49374963,1.2859464838745016,-0.9042489430638851,0.9042489430638851
6_state,6-State ULLT,author_model,0.26562500,5.1194536,-3.57437901,1.3250120921986621,-0.9251173622026934,0.9251173622026934
6_state,6-State ULLT,author_model,0.27343750,5.26161678,-3.65162316,1.3618066306949999,-0.9451096193454493,0.9451096193454493
6_state,6-State ULLT,author_model,0.28125000,5.39248535,-3.70772729,1.3956779090163325,-0.9596304366983569,0.9596304366983569
6_state,6-State ULLT,author_model,0.28906250,5.52738951,-3.76246988,1.43059367488789,-0.9737988615685957,0.9737988615685957
6_state,6-State ULLT,author_model,0.29687500,5.62129547,-3.78135901,1.4548983257845254,-0.9786877281580132,0.9786877281580132
6_state,6-State ULLT,author_model,0.30468750,5.71233477,-3.78329319,1.4784610304773274,-0.9791883307786696,0.9791883307786696
6_state,6-State ULLT,author_model,0.31250000,5.79101895,-3.76236012,1.4988259948096023,-0.9737704535902053,0.9737704535902053
6_state,6-State ULLT,author_model,0.32031250,5.83308593,-3.72044096,1.5097137304035493,-0.9629209766275055,0.9629209766275055
6_state,6-State ULLT,author_model,0.32812500,5.85197524,-3.65771616,1.5146026435803945,-0.946686603787259,0.946686603787259
6_state,6-State ULLT,author_model,0.33593750,5.85995418,-3.58253045,1.5166677452121249,-0.9272271101197039,0.9272271101197039
6_state,6-State ULLT,author_model,0.34375000,5.81980063,-3.46265576,1.5062752417436485,-0.8962012573219432,0.8962012573219432
6_state,6-State ULLT,author_model,0.35156250,5.7718196,-3.33946087,1.493856837376013,-0.8643160735306331,0.8643160735306331
