benchmark,case_id,phase,strip_id,alpha_rad,alpha_sep_rad,strip_area_m2,normalized_strip_weight,region_A,region_L,region_P,wA,wL,wP,canonical_eligible
yang2025,aoa_0,0.0390625,5,-0.3117753088651787,0.08726646259971647,0.0027083333333333313,0.08333333333333336,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0390625,6,-0.3427128266842508,0.08726646259971647,0.0027083333333333282,0.08333333333333326,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0390625,7,-0.3729823081427518,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0390625,8,-0.40255153949701117,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0390625,9,-0.4313946669647712,0.08726646259971647,0.0027083333333333287,0.08333333333333327,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0390625,10,-0.45949191383539734,0.08726646259971647,0.0027083333333333317,0.08333333333333337,0,0,1,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0390625,11,-0.4868292158862917,0.08726646259971647,0.0027083333333333326,0.0833333333333334,0,0,1,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.046875,0,-0.14733780950266825,0.08726646259971647,0.00270833333333333,0.08333333333333331,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.046875,1,-0.18061979680210077,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.046875,2,-0.2135022358775475,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.046875,3,-0.2459225816240499,0.08726646259971647,0.0027083333333333295,0.0833333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.046875,4,-0.27782390534775114,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.046875,5,-0.309155297318459,0.08726646259971647,0.0027083333333333313,0.08333333333333336,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.046875,6,-0.33987211197475087,0.08726646259971647,0.0027083333333333282,0.08333333333333326,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.046875,7,-0.36993606342159807,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.046875,8,-0.39931518427669593,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.046875,9,-0.4279836648722255,0.08726646259971647,0.0027083333333333287,0.08333333333333327,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.046875,10,-0.45592159226713747,0.08726646259971647,0.0027083333333333317,0.08333333333333337,0,0,1,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.046875,11,-0.48311460956698427,0.08726646259971647,0.0027083333333333326,0.0833333333333334,0,0,1,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0546875,0,-0.14574604335158023,0.08726646259971647,0.00270833333333333,0.08333333333333331,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0546875,1,-0.1786824923272778,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0546875,2,-0.21123183300655438,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0546875,3,-0.24333322170517438,0.08726646259971647,0.0027083333333333295,0.0833333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
yang2025,aoa_0,0.0546875,4,-0.2749311570993213,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.8333333333333333,0.1666666666666668,false
