t_star,experiment_CL_fast_pitch,experiment_CL_slow_pitch,source_figure,data_role
3.17000000,1.878363445,1.721797920,4.13b,digitized_experimental_curve
3.18000000,1.874082238,1.726079126,4.13b,digitized_experimental_curve
3.19000000,1.875588549,1.733254092,4.13b,digitized_experimental_curve
3.20000000,1.877622176,1.739568926,4.13b,digitized_experimental_curve
3.21000000,1.873340969,1.739568926,4.13b,digitized_experimental_curve
3.22000000,1.872694790,1.746838981,4.13b,digitized_experimental_curve
3.23000000,1.872694790,1.753536336,4.13b,digitized_experimental_curve
3.24000000,1.872599700,1.757817543,4.13b,digitized_experimental_curve
3.25000000,1.868318494,1.762098749,4.13b,digitized_experimental_curve
3.26000000,1.869249942,1.766379956,4.13b,digitized_experimental_curve
3.27000000,1.872694790,1.770661163,4.13b,digitized_experimental_curve
3.28000000,1.872694790,1.774942370,4.13b,digitized_experimental_curve
3.29000000,1.865999597,1.785918770,4.13b,digitized_experimental_curve
3.30000000,1.860592439,1.792451879,4.13b,digitized_experimental_curve
3.31000000,1.860592439,1.788170672,4.13b,digitized_experimental_curve
3.32000000,1.860592439,1.796156063,4.13b,digitized_experimental_curve
3.33000000,1.862911336,1.804718476,4.13b,digitized_experimental_curve
3.34000000,1.866643615,1.812731962,4.13b,digitized_experimental_curve
3.35000000,1.866643615,1.817013169,4.13b,digitized_experimental_curve
3.36000000,1.869703781,1.824354541,4.13b,digitized_experimental_curve
3.37000000,1.871404593,1.830336561,4.13b,digitized_experimental_curve
3.38000000,1.867123386,1.830336561,4.13b,digitized_experimental_curve
3.39000000,1.859040745,1.837939431,4.13b,digitized_experimental_curve
3.40000000,1.850478331,1.842438912,4.13b,digitized_experimental_curve
3.41000000,1.841915917,1.842438912,4.13b,digitized_experimental_curve
3.42000000,1.833353504,1.842438912,4.13b,digitized_experimental_curve
3.43000000,1.824791090,1.845211647,4.13b,digitized_experimental_curve
3.44000000,1.817231443,1.849492854,4.13b,digitized_experimental_curve
3.45000000,1.812950236,1.853774061,4.13b,digitized_experimental_curve
3.46000000,1.812183034,1.854541263,4.13b,digitized_experimental_curve
3.47000000,1.813927069,1.856285299,4.13b,digitized_experimental_curve
3.48000000,1.818208276,1.860566505,4.13b,digitized_experimental_curve
3.49000000,1.813978936,1.864847712,4.13b,digitized_experimental_curve
3.50000000,1.812183034,1.869128919,4.13b,digitized_experimental_curve
3.51000000,1.813613704,1.872694790,4.13b,digitized_experimental_curve
3.52000000,1.822176118,1.872694790,4.13b,digitized_experimental_curve
3.53000000,1.824285385,1.875921364,4.13b,digitized_experimental_curve
3.54000000,1.821372176,1.880202570,4.13b,digitized_experimental_curve
3.55000000,1.812809763,1.884483777,4.13b,digitized_experimental_curve
3.56000000,1.812183034,1.884797142,4.13b,digitized_experimental_curve
3.57000000,1.812183034,1.884797142,4.13b,digitized_experimental_curve
