case_id,t_star,experiment_CL,data_role
fast_pitch,2.7,1.901481097,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.71,1.893763687,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.72,1.888116644,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.73,1.87955423,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.74,1.878745966,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.75,1.87663886,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.76,1.87269479,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.77,1.87269479,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.78,1.87269479,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.79,1.871616384,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.8,1.867335178,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.81,1.870233258,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.82,1.878153815,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.83,1.890898023,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.84,1.89517923,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.85,1.904582325,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.86,1.915843995,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.87,1.920125202,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.88,1.924406408,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.89,1.928687615,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.9,1.932968822,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.91,1.937250029,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.92,1.941531236,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.93,1.945308898,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.94,1.945308898,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.95,1.945308898,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.96,1.947798525,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.97,1.956360938,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.98,1.949899147,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.99,1.943322816,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.0,1.939041609,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.01,1.934760402,digitized_experimental_whole_wing_lift_curve
fast_pitch,3.02,1.930479195,digitized_experimental_whole_wing_lift_curve
