benchmark,case_id,model,phase,baseline_CL,baseline_CD,equilibrium_CL,equilibrium_CD,raw_ldvm_CL,raw_ldvm_CD,state_CL,state_CD,transient_CL,transient_CD,prediction_CL,prediction_CD,ledger_residual_CL,ledger_residual_CD,incidence_source,aggregation_scope,equilibrium_provider
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.3984375,0.6304654638705993,-0.0831220988168236,-0.10803332380746644,0.037527039703873145,-0.4162544325852115,0.029177804931924026,-0.21399445433782857,0.014268223645522105,-0.23084937218921892,0.017017046621849646,0.29158276787391396,-0.02857801249110081,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.40625,0.6586720070168607,-0.09013759529220884,-0.11435341600847371,0.04697961470076247,-1.5532722790429956,0.03371725774368445,-0.3798564662850691,0.0166768769260032,-1.339277824705167,0.019449034098162343,-0.7949592336967801,-0.023708946493284026,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.4140625,0.6864931717695762,-0.09719135287011119,-0.12065574964488801,0.05641700867369675,-0.7864158346271328,0.038426570588650476,-0.43020655314927797,0.019370453929652146,-0.40655936834206374,0.021749693662647274,0.1592780537826245,-0.019024650533767163,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.421875,0.7138791149049056,-0.10427487122062307,-0.12692622307783574,0.06582197316595148,15.1651805782704,0.04325350308293313,1.5011942652603087,0.02232823498965743,15.595387131419677,0.023883049153280985,16.18234002324675,-0.014569848901390601,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.4296875,0.7407427575339028,-0.11138015792724582,-0.13313252048895796,0.07510349340613645,8.13833606924442,0.048705604076986236,2.3231668783215955,0.025594923518351936,6.637141803984112,0.026377369087328805,7.244752041029057,-0.009899295433780559,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.4375,0.766802492846628,-0.11849322897013502,-0.13926564615742076,0.08440815543760831,-17.830170356257764,0.05320714240962559,-0.17271037695546765,0.02901454123705975,-20.15333723457936,0.027612218891273653,-19.525800387890154,-0.006472854641253058,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.4453125,0.7921381659719575,-0.1255957721126194,-0.1452871752529895,0.09356497937636918,-5.669802437583209,0.058307806953527455,-0.8534942533222974,0.032642347132605026,-5.497092060627741,0.029293265716467703,-4.8502410699087735,-0.0027375270197825263,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.453125,0.8166595873356314,-0.1326750028267901,-0.15119235016829302,0.10264820041397665,-3.4309417153667296,0.06346751882206056,-1.1726965979419508,0.03645987095082978,-2.5774474620444323,0.030825171689455533,-1.911980224877094,0.0007983692766420913,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.4609375,0.8402717222282714,-0.13971703160738716,-0.15697292146549258,0.11171449757403804,-1.379829805527136,0.06921323640371677,-1.1983488785348348,0.0405161907015544,-0.20713320758518527,0.032753365452886984,0.47616559317759355,0.00475083141953786,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.46875,0.8625978308685314,-0.14668650657860496,-0.16255773464275014,0.1206960473059607,-1.160804226989224,0.07390668022274574,-1.1936991849997507,0.044651414678033845,0.03754465154561082,0.03339048952119134,0.737584747771392,0.007400030248547081,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
