model,theta_max_deg,phase_offset_deg,phase,CT,persistence,ldvm_delta_CT,owned_old_CT,owned_polar_CT,target_old_CT,target_polar_CT,profile_reference_delta_CT,polar_reference_delta_CT
v4b_legacy_025c,15.0,15.0,0.1015625,0.018372149556009736,0.018189221246986624,-0.1303447382227336,0.15931617511506752,-0.5537520998880078,0.16369269362599753,-0.2808292545743314,0.004376518510930016,0.26854632680274637
v5c0_corrected_v4b_075c,15.0,15.0,0.1015625,0.027633316620220477,0.018189221246986624,-0.1303447382227336,0.15931617511506752,-0.5537520998880078,0.16369269362599753,-0.2808292545743314,0.004376518510930016,0.26854632680274637
v4b_legacy_025c,15.0,15.0,0.109375,0.044455435922277194,0.018278075005323878,-0.16712803881509716,0.22275782380172793,-0.555722836178279,0.22730183847150262,-0.25773964304323527,0.004544014669774693,0.293439178465269
v5c0_corrected_v4b_075c,15.0,15.0,0.109375,0.0543629539055407,0.018278075005323878,-0.16712803881509716,0.22275782380172793,-0.555722836178279,0.22730183847150262,-0.25773964304323527,0.004544014669774693,0.293439178465269
v4b_legacy_025c,15.0,15.0,0.1171875,0.08074419250112964,0.01832075403765213,-0.1941940297158412,0.2868032021424398,-0.5550159144603544,0.2914899217518872,-0.23268566854225273,0.004686719609447387,0.3176435263086543
v5c0_corrected_v4b_075c,15.0,15.0,0.1171875,0.09125038102773038,0.01832075403765213,-0.1941940297158412,0.2868032021424398,-0.5550159144603544,0.2914899217518872,-0.23268566854225273,0.004686719609447387,0.3176435263086543
v4b_legacy_025c,15.0,15.0,0.125,0.1186963883749167,0.01831726875678454,-0.21965336234325367,0.3508506656283672,-0.551268793390278,0.3556539644269857,-0.20569330714144857,0.004803298798618516,0.34077218745021093
v5c0_corrected_v4b_075c,15.0,15.0,0.125,0.12974170291589807,0.01831726875678454,-0.21965336234325367,0.3508506656283672,-0.551268793390278,0.3556539644269857,-0.20569330714144857,0.004803298798618516,0.34077218745021093
v4b_legacy_025c,15.0,15.0,0.1328125,0.16409221310343175,0.018267761329979273,-0.23701366648181751,0.4142848480740356,-0.5441619623343055,0.41917760232035584,-0.1768177558810839,0.004892754246320241,0.36245145220690134
v5c0_corrected_v4b_075c,15.0,15.0,0.1328125,0.17560614397237206,0.018267761329979273,-0.23701366648181751,0.4142848480740356,-0.5441619623343055,0.41917760232035584,-0.1768177558810839,0.004892754246320241,0.36245145220690134
v4b_legacy_025c,15.0,15.0,0.140625,0.20232601696474253,0.018172502020587507,-0.2605382426221297,0.47648236843881825,-0.5334358349899269,0.4814367949415473,-0.1461515027842257,0.004954426502729037,0.3823299057029721
v5c0_corrected_v4b_075c,15.0,15.0,0.140625,0.21422833445138983,0.018172502020587507,-0.2605382426221297,0.47648236843881825,-0.5334358349899269,0.4814367949415473,-0.1461515027842257,0.004954426502729037,0.3823299057029721
v4b_legacy_025c,15.0,15.0,0.1484375,0.24587550153430113,0.018031885005905676,-0.27689905706810886,0.5368182291585449,-0.5189051466946195,0.5418062212396009,-0.11383083705722497,0.004987992081055936,0.4000863175563386
v5c0_corrected_v4b_075c,15.0,15.0,0.1484375,0.25807780408596925,0.018031885005905676,-0.27689905706810886,0.5368182291585449,-0.5189051466946195,0.5418062212396009,-0.11383083705722497,0.004987992081055936,0.4000863175563386
v4b_legacy_025c,15.0,15.0,0.15625,0.2858804576400003,0.017846423766232012,-0.29450389639882635,0.5946729028904639,-0.5004703282457362,0.5996663594870925,-0.08004040401071932,0.004993456596628532,0.4154364676383884
