Time,Z_tip
22.7595,-0.00307596962964358
22.761,-0.00313595403026437
22.7625,-0.00319049901321723
22.764,-0.00324264676154582
22.7655,-0.00329507948519506
22.767,-0.00334972907612913
22.7685,-0.00340754678094373
22.77,-0.00346847524678494
22.7715,-0.00353158257753607
22.773,-0.00359525479810021
22.7745,-0.00365733963817815
22.776,-0.0037151979253744
22.7775,-0.0037657137222075
22.779,-0.00380538132935967
22.7805,-0.00383057589409872
22.782,-0.00383802013951318
22.7835,-0.00382533415902084
22.785,-0.0037914765686887
22.7865,-0.00373690573775254
22.788,-0.00366340219575751
22.7895,-0.00357363679500071
22.791,-0.00347066660696209
22.7925,-0.00335754158878172
22.794,-0.0032371156732922
22.7955,-0.00311203518913446
22.797,-0.00298480085329656
22.7985,-0.00285780766300489
22.8,-0.00273333868549761
22.8015,-0.0026135594662704
22.803,-0.00250057198862485
22.8045,-0.00239653221232266
22.806,-0.00230375761902902
22.8075,-0.00222471451921128
22.809,-0.00216181724985709
22.8105,-0.00211707860337765
22.812,-0.00209176097861734
22.8135,-0.00208621400163824
22.815,-0.00210000464367877
22.8165,-0.00213228349170334
22.818,-0.00218241833022481
22.8195,-0.00224986466570085
22.821,-0.0023338496004744
22.8225,-0.00243345924793005
22.824,-0.00254733562755652
22.8255,-0.00267340062454735
22.827,-0.00280874493443947
22.8285,-0.00294971324849902
22.83,-0.00309212805214928
22.8315,-0.0032315804395737
22.833,-0.00336373073796459
22.8345,-0.00348457758390843
22.836,-0.00359067338234066
22.8375,-0.00367928222778338
22.839,-0.00374848610636776
22.8405,-0.00379724311395646
22.842,-0.00382539599926815
22.8435,-0.00383362990022857
22.845,-0.00382338763638937
22.8465,-0.00379676200847915
22.848,-0.00375638759895447
22.8495,-0.00370534430848877
22.851,-0.00364706634852652
22.8525,-0.00358523578162366
22.854,-0.00352364204556945
22.8555,-0.00346601119254706
22.857,-0.0034158387954763
22.8585,-0.00337627541028276
22.86,-0.00335009557795192
22.8615,-0.00333973462542464
22.863,-0.00334733083378539
22.8645,-0.00337469876105287
22.866,-0.00342319708218919
22.8675,-0.00349352075861914
22.869,-0.00358550061083037
22.8705,-0.00369799973815724
22.872,-0.00382895421054719
22.8735,-0.00397554364627727
22.875,-0.00413443171327664
22.8765,-0.00430200641019896
22.878,-0.00447457044045035
22.8795,-0.00464846445050985
22.881,-0.00482013331412647
22.8825,-0.00498616010489767
22.884,-0.00514329379739226
22.8855,-0.00528863424277998
22.887,-0.00541943167145817
22.8885,-0.00553301265974228
22.89,-0.00562713641671439
22.8915,-0.00570007503848028
22.893,-0.00575061962444032
22.8945,-0.00577804521075328
22.896,-0.00578206923818745
22.8975,-0.00576280715704163
22.899,-0.00572071165845517
22.9005,-0.00565647430040997
22.902,-0.00557088242588176
22.9035,-0.00546466118675231
22.905,-0.00533836326377199
22.9065,-0.00519237206115503
22.908,-0.0050270498104905
22.9095,-0.00484300439199186
22.911,-0.00464139235662794
22.9125,-0.00442414840824926
22.914,-0.0041940506857121
22.9155,-0.00395459125284153
22.917,-0.00370969327693924
22.9185,-0.00346336515168605
22.92,-0.00321938753729108
22.9215,-0.00298109776223296
22.923,-0.00275129008182773
22.9245,-0.0025322126651417
22.926,-0.00232562398881655
22.9275,-0.00213287165907138
22.929,-0.00195496901646326
22.9305,-0.00179266194764709
22.932,-0.00164649323193141
22.9335,-0.00151687776588368
22.935,-0.00140419503827472
22.9365,-0.00130888752558587
22.938,-0.00123153506351118
22.9395,-0.00117286824663125
22.941,-0.00113369576798786
22.9425,-0.00111474763149542
22.944,-0.00111646549555849
22.9455,-0.00113878877627693
22.947,-0.00118098341531716
22.9485,-0.00124154259789774
22.95,-0.0013181655684849
22.9515,-0.00140780266155859
22.953,-0.00150690425433686
22.9545,-0.00161128361013654
22.956,-0.00171610268301759
22.9575,-0.00181633389557813
22.959,-0.00190698237154557
22.9605,-0.00198324660307474
22.962,-0.00204064721158745
22.9635,-0.00207516964696203
22.965,-0.00208344265932065
22.9665,-0.00206295093863051
22.968,-0.00201225176220814
22.9695,-0.00193114345864756
22.971,-0.00182073645798419
22.9725,-0.00168340323372998
22.974,-0.00152261392536047
22.9755,-0.00134268418446376
22.977,-0.00114847002671852
22.9785,-0.000945046366748019
22.98,-0.000737404742876486
22.9815,-0.000530200924605793
22.983,-0.000327573819959633
22.9845,-0.000133044085805853
22.986,5.05132119179564e-05
22.9875,0.000220838965992502
22.989,0.00037622615155604
22.9905,0.000515443388396928
22.992,0.000637661675414176
22.9935,0.000742392471471766
22.995,0.000829438947135424
22.9965,0.000898858173907345
22.998,0.000950929845836807
22.9995,0.000986126086038893
23.001,0.00100507686382759
23.0025,0.00100852705869483
23.004,0.000997284553296078
23.0055,0.000972163097965636
23.007,0.000933927156290476
23.0085,0.000883246555225589
23.01,0.000820665920799936
23.0115,0.000746588958949973
23.013,0.00066127336670611
23.0145,0.000564831036427725
23.016,0.000457231080154577
23.0175,0.000338308738628361
23.019,0.000207788688971453
23.0205,6.51668949674403e-05
23.022,-8.99349409934622e-05
23.0235,-0.000257491094431099
23.025,-0.0004372599287062
23.0265,-0.000628677352920043
23.028,-0.000830663147492739
23.0295,-0.00104143386124724
23.031,-0.00125840842928273
23.0325,-0.00147823892132575
23.034,-0.00169696328496266
23.0355,-0.00191024599236433
23.037,-0.00211365385881813
23.0385,-0.00230292600507659
23.04,-0.0024742223855301
23.0415,-0.00262434464197802
23.043,-0.00275091244333729
23.0445,-0.00285246975976625
23.046,-0.00292850377600065
23.0475,-0.00297937964494197
23.049,-0.00300621316115578
23.0505,-0.00301071213866007
23.052,-0.00299501505203355
23.0535,-0.00296154639893297
23.055,-0.00291289727422017
23.0565,-0.00285173102959532
23.058,-0.00278070934243668
23.0595,-0.00270243293808425
23.061,-0.00261939165943363
23.0625,-0.002533919260012
23.064,-0.00244814905898978
23.0655,-0.00236396819368171
23.067,-0.00228297102174434
23.0685,-0.00220641578097668
23.07,-0.00213519153483087
23.0715,-0.00206980343633879
23.073,-0.00201038282009732
23.0745,-0.00195672506778329
23.076,-0.00190835366993456
23.0775,-0.00186460469255399
23.079,-0.00182472286595241
23.0805,-0.00178795925496841
23.082,-0.00175366095346963
23.0835,-0.00172134514586051
23.085,-0.00169075248895444
23.0865,-0.00166187731348865
23.088,-0.00163507248698224
