figure,case_id,quantity,point_index,phase,coefficient,x_pdf,y_pdf,is_plot_boundary_intersection
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,16,0.2638805190150105,0.3132920114299345,155.21322631835938,410.76788330078125,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,17,0.2803735790065199,0.30332487004581926,157.9263153076172,411.84771728515625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,18,0.29686441277582076,0.29891311986613317,160.6390380859375,412.32568359375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,19,0.3133575655265889,0.30046999275868363,163.35214233398438,412.1570129394531,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,20,0.32985062551809835,0.3081630912874416,166.0652313232422,411.32354736328125,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,21,0.34634368550960776,0.3218845301045064,168.7783203125,409.83697509765625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,22,0.36283451927890864,0.3412560062797723,171.4910430908203,407.73828125,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,23,0.37932757927041805,0.3656093630372071,174.20413208007812,405.099853515625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,24,0.3958207320211862,0.3940209553225908,176.917236328125,402.0217590332031,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,25,0.4123138847719543,0.4253643248950499,179.63034057617188,398.62603759765625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,26,0.42880462578199646,0.4583347069204438,182.34304809570312,395.0540466308594,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,27,0.4452977785327646,0.4915498731947298,185.05615234375,391.4555358886719,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,28,0.46179083852427405,0.5236140746347548,187.7692413330078,387.9817199707031,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,29,0.4782839912750422,0.553204800252546,190.4823455810547,384.77587890625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,30,0.494774825044343,0.5791429167156961,193.195068359375,381.96575927734375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,31,0.5112678850358525,0.6004805540615794,195.9081573486328,379.654052734375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,32,0.5277609450273619,0.616538851484868,198.62124633789062,377.914306640625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,33,0.54425409777813,0.6269575338942697,201.3343505859375,376.7855529785156,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,34,0.5607448387881722,0.6316946302275466,204.04705810546875,376.2723388671875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,35,0.5772379915389403,0.631036614110847,206.76016235351562,376.3436279296875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,36,0.5937311442897084,0.625551080781821,209.4732666015625,376.93792724609375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,37,0.6102219780590094,0.6160419591775657,212.1859893798828,377.9681396484375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,38,0.6267150380505188,0.6034821892240576,214.89907836914062,379.328857421875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,39,0.6432080980420282,0.5889458357556179,217.61216735839844,380.9037170410156,0
