figure,case_id,quantity,sample_index,phase,coefficient,std,lower,upper,x_pdf,y_centre_pdf
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,35,0.577237846256431,-0.04967465812862193,0.0035992955771494426,-0.05327395370577137,-0.04607536255147249,421.50714111328125,441.7369079589844
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,36,0.5937311830217542,-0.04774787651841321,0.004478847542270791,-0.052226724060684,-0.04326902897614242,424.22027587890625,440.1713104248047
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,37,0.6102219225280707,-0.04466357620337466,0.005811067272604475,-0.05047464347597914,-0.038852508930770184,426.9329833984375,437.66517639160156
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,38,0.6267148882563929,-0.040510318941678496,0.007218196429008766,-0.04772851537068726,-0.03329212251266973,429.64605712890625,434.29046630859375
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,39,0.6432080395032156,-0.03540898514837022,0.008445948589216906,-0.04385493373758713,-0.026963036559153317,432.3591613769531,430.14540100097656
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,40,0.6597011907500382,-0.029508567399645434,0.009335040285710496,-0.03884360768535593,-0.020173527113934938,435.072265625,425.3510437011719
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,41,0.6761919302563547,-0.022977964010389818,0.00979826184822834,-0.032776225858618155,-0.013179702162161477,437.78497314453125,420.0446319580078
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,42,0.6926850815031774,-0.01600070213552643,0.009812947025261988,-0.02581364916078842,-0.006187755110264441,440.4980773925781,414.3752899169922
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,43,0.70917823275,-0.008765717281622412,0.009422043386985284,-0.018187760668607694,0.0006563261053628717,443.211181640625,408.4965362548828
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,44,0.7256711984783222,-0.0014605177513388606,0.00873283535333841,-0.01019335310467727,0.0072723176019995495,445.92425537109375,402.56072998046875
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,45,0.7421621235031393,0.0057366837570514695,0.007912305781333109,-0.0021756220242816395,0.013648989538384578,448.6369934082031,396.7126770019531
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,46,0.7586552747499619,0.01266425640118464,0.00716550255847627,0.0054987538427083696,0.01982975895966091,451.35009765625,391.0837097167969
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,47,0.775148240478284,0.019181338911330004,0.006674750983770029,0.012506587927559975,0.025856089895100035,454.06317138671875,385.7882843017578
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,48,0.7916415772436071,0.025174111775977392,0.006498885660342794,0.0186752261156346,0.03167299743632018,456.77630615234375,380.91888427734375
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,49,0.8081323167499237,0.03055626671680632,0.006523617601715315,0.024032649115091006,0.03707988431852163,459.489013671875,376.54563903808594
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,50,0.8246252824782458,0.0352723117924684,0.006534359189008469,0.02873795260345993,0.04180667098147686,462.20208740234375,372.71363830566406
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,51,0.8411184337250684,0.03929586250969985,0.006332597626285327,0.03296326488341453,0.04562846013598518,464.9151916503906,369.44432067871094
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,52,0.857611584971891,0.042628346072406786,0.005798936039402767,0.03682941003300402,0.04842728211180955,467.6282958984375,366.7365264892578
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,53,0.8741023244782077,0.045296578890824515,0.004907046272093304,0.04038953261873121,0.05020362516291782,470.34100341796875,364.56846618652344
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,54,0.8905954757250303,0.047348109389824186,0.0037478937943709817,0.043600215595453205,0.05109600318419517,473.0541076660156,362.90150451660156
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CD,55,0.9070886269718529,0.048847593662151065,0.00264348209804646,0.0462041115641046,0.05149107576019753,475.7672119140625,361.68310546875
