figure,case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
10,razak2014_fig10,v4b,0.171875,-0.13411576325288616,-0.017173280932495254,0.8059880107094471,-0.017482764682878543,0.004470995588763706,0.10355339059327363
10,razak2014_fig10,v4b,0.1796875,-0.11767353021139315,-0.014405326129794128,0.808894420582837,-0.009835525692357072,0.00321422614085999,0.0
10,razak2014_fig10,v4b,0.1875,-0.10180741380579103,-0.011777515639964962,0.8116896850863419,-0.006082337009985291,0.00227451888588305,0.0
10,razak2014_fig10,v4b,0.1953125,-0.08553047953186949,-0.00934645129289478,0.8143744766574076,-0.0010237945390159787,0.0015286148658260768,0.0
10,razak2014_fig10,v4b,0.203125,-0.07043485273194873,-0.0071179097612347995,0.8169495935199567,-0.003267554686049302,0.0011106318102329605,0.0
10,razak2014_fig10,v4b,0.2109375,-0.05484829375164717,-0.0051894064264706805,0.819415940739344,-0.0038411464461971137,0.0006394026350440298,0.0
10,razak2014_fig10,v4b,0.21875,-0.03908951208932415,-0.003550533189752322,0.8217745129503002,-0.004459903967625002,0.0003024475247341193,0.0
10,razak2014_fig10,v4b,0.2265625,-0.023117138951114946,-0.002229669528502465,0.8240263786304158,-0.00490134759241059,5.9678080621951694e-05,0.0
10,razak2014_fig10,v4b,0.234375,-0.007028207451053033,-0.001242374858290972,0.8261726657918064,-0.005738188519161351,-7.601641689514541e-05,0.0
10,razak2014_fig10,v4b,0.2421875,0.009254646433325804,-0.0006096127892846687,0.8282145489665038,-0.006561281401873463,-0.00014242497332645108,0.0
10,razak2014_fig10,v4b,0.25,0.025748912568404038,-0.00034493091595251275,0.8301532373663866,-0.007294352957360277,-0.00015631143902667167,0.0
10,razak2014_fig10,v4b,0.2578125,0.042456560745578395,-0.00045677388123270925,0.8319899641056197,-0.007945533512533555,-0.00012642137509858535,0.0
10,razak2014_fig10,v4b,0.265625,0.05937631135053715,-0.0009494926216605283,0.833725976382234,-0.008533217223356265,-5.945959063985142e-05,0.0
10,razak2014_fig10,v4b,0.2734375,0.07650648765257043,-0.0018236510471406867,0.8353625265252063,-0.009064195108243347,3.800384923277058e-05,0.0
10,razak2014_fig10,v4b,0.28125,0.09384506446277109,-0.003076136402399296,0.8369008638238827,-0.009527637499928644,0.0001589254760697918,0.0
10,razak2014_fig10,v4b,0.2890625,0.11137879735911835,-0.0046993090861704905,0.8383422270674666,-0.009956614707911305,0.0003012338088636894,0.0
