case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
W1,fluxv_old_filtered,0.3359375,1.8099877337154835,-0.5575527950502341,,,,
W1,fluxv_old_filtered,0.34375,1.7831038583065637,-0.5372478851480615,,,,
W1,fluxv_old_filtered,0.3515625,1.7542699347647828,-0.5152015822840207,,,,
W1,fluxv_old_filtered,0.359375,1.7236644698211674,-0.4916352487888633,,,,
W1,fluxv_old_filtered,0.3671875,1.6914524921446987,-0.4667723682921131,,,,
W1,fluxv_old_filtered,0.375,1.657784136951674,-0.44083549503883535,,,,
W1,fluxv_old_filtered,0.3828125,1.6227938350342774,-0.4140436803603873,,,,
W1,fluxv_old_filtered,0.390625,1.5866000551603232,-0.38661039268085456,,,,
W1,fluxv_old_filtered,0.3984375,1.5493055334917203,-0.3587419206772485,,,,
W1,fluxv_old_filtered,0.40625,1.510997914717921,-0.3306362263769368,,,,
W1,fluxv_old_filtered,0.4140625,1.4717507265994794,-0.3024821971560338,,,,
W1,fluxv_old_filtered,0.421875,1.4316246117199918,-0.27445923340814987,,,,
W1,fluxv_old_filtered,0.4296875,1.3906687462977585,-0.24673710220469822,,,,
W1,fluxv_old_filtered,0.4375,1.3489223846009197,-0.21947598622490727,,,,
W1,fluxv_old_filtered,0.4453125,1.306416477527201,-0.19282666085973582,,,,
W1,fluxv_old_filtered,0.453125,1.2631753240692443,-0.16693073965561728,,,,
W1,fluxv_old_filtered,0.4609375,1.2192182237431761,-0.14192093794912464,,,,
W1,fluxv_old_filtered,0.46875,1.1745611059680763,-0.1179213153889073,,,,
W1,fluxv_old_filtered,0.4765625,1.1292181185272394,-0.09504746885684329,,,,
W1,fluxv_old_filtered,0.484375,1.0832031616002553,-0.07340665708015641,,,,
W1,fluxv_old_filtered,0.4921875,1.0365313566542915,-0.0530978462333403,,,,
W1,fluxv_old_filtered,0.5,0.9892204411115838,-0.034211671649225325,,,,
W1,fluxv_old_filtered,0.5078125,0.9412920806229792,-0.01683031431953432,,,,
W1,fluxv_old_filtered,0.515625,0.892773091403152,-0.001027292416604264,,,,
W1,fluxv_old_filtered,0.5234375,0.8436965657464662,0.013132831869624119,,,,
W1,fluxv_old_filtered,0.53125,0.7941028947111208,0.02559483059895492,,,,
W1,fluxv_old_filtered,0.5390625,0.744040683023504,0.03631327455481988,,,,
W1,fluxv_old_filtered,0.546875,0.6935675523406468,0.045253084882538416,,,,
W1,fluxv_old_filtered,0.5546875,0.6427508298221672,0.052390171197344834,,,,
W1,fluxv_old_filtered,0.5625,0.591668119157591,0.05771215183071318,,,,
W1,fluxv_old_filtered,0.5703125,0.5404077504521961,0.06121914605871006,,,,
W1,fluxv_old_filtered,0.578125,0.48906910348576904,0.06292462025149292,,,,
W1,fluxv_old_filtered,0.5859375,0.43776279579344235,0.06285626032425301,,,,
W1,fluxv_old_filtered,0.59375,0.38661072296918003,0.06105683237198789,,,,
W1,fluxv_old_filtered,0.6015625,0.33574593399033636,0.057584982878762514,,,,
W1,fluxv_old_filtered,0.609375,0.28531231984998734,0.052515920496911075,,,,
W1,fluxv_old_filtered,0.6171875,0.23546409016214187,0.04594191422523934,,,,
W1,fluxv_old_filtered,0.625,0.18636501054109988,0.03797253894062658,,,,
W1,fluxv_old_filtered,0.6328125,0.138187374277283,0.028734599538849104,,,,
W1,fluxv_old_filtered,0.640625,0.09111068580913051,0.01837167002691875,,,,
W1,fluxv_old_filtered,0.6484375,0.04532004113133137,0.007043194039101003,,,,
W1,fluxv_old_filtered,0.65625,0.001004201640162239,-0.0050768917166579,,,,
W1,fluxv_old_filtered,0.6640625,-0.041646627350154564,-0.017802030184616152,,,,
W1,fluxv_old_filtered,0.671875,-0.08244328484108199,-0.03093540915207804,,,,
W1,fluxv_old_filtered,0.6796875,-0.12120036173500537,-0.044272790236261184,,,,
W1,fluxv_old_filtered,0.6875,-0.15773906151195272,-0.05760574739912419,,,,
W1,fluxv_old_filtered,0.6953125,-0.19189013043893988,-0.07072523613675838,,,,
W1,fluxv_old_filtered,0.703125,-0.22349675964743998,-0.08342539258485124,,,,
W1,fluxv_old_filtered,0.7109375,-0.2524173519959749,-0.09550744411198772,,,,
W1,fluxv_old_filtered,0.71875,-0.27852804310554824,-0.1067836008618577,,,,
W1,fluxv_old_filtered,0.7265625,-0.30172486909141283,-0.11708079214199002,,,,
W1,fluxv_old_filtered,0.734375,-0.3219254835680059,-0.12624411311340575,,,,
W1,fluxv_old_filtered,0.7421875,-0.3390703431554606,-0.13413985602139317,,,,
W1,fluxv_old_filtered,0.75,-0.35312330308120654,-0.1406580158527333,,,,
W1,fluxv_old_filtered,0.7578125,-0.3640715911611855,-0.14571418198220143,,,,
