case_id,model,quantity,phase,experiment,prediction
W1,fluxv_old,CL,0.865,-0.135799999998,-0.2327251915195396
W1,fluxv_old,CL,0.8675,-0.123099999998,-0.2246573687174089
W1,fluxv_old,CL,0.87,-0.110399999998,-0.21608039223803954
W1,fluxv_old,CL,0.8725,-0.0976999999975,-0.20750341575866982
W1,fluxv_old,CL,0.875,-0.08,-0.19892643927930045
W1,fluxv_old,CL,0.8775,-0.0623000000025,-0.18979237428131243
W1,fluxv_old,CL,0.88,-0.0496000000024,-0.180658309283324
W1,fluxv_old,CL,0.8825,-0.0369000000024,-0.17152424428533597
W1,fluxv_old,CL,0.885,-0.0242000000023,-0.16192186787595497
W1,fluxv_old,CL,0.8875,-0.0115000000023,-0.15225258983637546
W1,fluxv_old,CL,0.89,0.00119999999776,-0.1425833117967955
W1,fluxv_old,CL,0.8925,0.0138999999978,-0.13252686994037594
W1,fluxv_old,CL,0.895,0.0265999999979,-0.12234137347834256
W1,fluxv_old,CL,0.8975,0.0392999999979,-0.11215587701630964
W1,fluxv_old,CL,0.9,0.0539999999959,-0.10165790202162499
W1,fluxv_old,CL,0.9025,0.074699999998,-0.09097243990735006
W1,fluxv_old,CL,0.905,0.0873999999981,-0.08028697779307464
W1,fluxv_old,CL,0.9075,0.100099999998,-0.06935839780116626
W1,fluxv_old,CL,0.91,0.112799999998,-0.05818669993162394
W1,fluxv_old,CL,0.9125,0.125499999998,-0.047015002062082104
W1,fluxv_old,CL,0.915,0.138199999998,-0.03566527511476914
W1,fluxv_old,CL,0.9175,0.150899999998,-0.024018833037838992
W1,fluxv_old,CL,0.92,0.163599999998,-0.012372390960908322
W1,fluxv_old,CL,0.9225,0.17,-0.0006096601527113056
W1,fluxv_old,CL,0.925,0.178999999998,0.011501936849286833
W1,fluxv_old,CL,0.9275,0.191699999999,0.02361353385128443
W1,fluxv_old,CL,0.93,0.204399999999,0.035782267500271456
W1,fluxv_old,CL,0.9325,0.217099999999,0.04835095767818007
W1,fluxv_old,CL,0.935,0.229799999999,0.06091964785608925
W1,fluxv_old,CL,0.9375,0.242499999999,0.07348833803399786
W1,fluxv_old,CL,0.94,0.255199999999,0.08650718540640613
W1,fluxv_old,CL,0.9425,0.267899999999,0.09952603277881497
W1,fluxv_old,CL,0.945,0.280599999999,0.11254488015122324
W1,fluxv_old,CL,0.9475,0.29,0.12595216473836043
W1,fluxv_old,CL,0.95,0.295999999999,0.13941494035617252
W1,fluxv_old,CL,0.9525,0.308699999999,0.15287771597398522
W1,fluxv_old,CL,0.955,0.321399999999,0.16666897578387077
W1,fluxv_old,CL,0.9575,0.334099999999,0.1805697303244481
W1,fluxv_old,CL,0.96,0.346799999999,0.1944704848650248
W1,fluxv_old,CL,0.9625,0.359499999999,0.2086411641712567
W1,fluxv_old,CL,0.965,0.372199999999,0.22297379833688072
W1,fluxv_old,CL,0.9675,0.384899999999,0.23730643250250538
W1,fluxv_old,CL,0.97,0.397599999999,0.2518516685152985
W1,fluxv_old,CL,0.9725,0.410299999999,0.2666095063752613
W1,fluxv_old,CL,0.975,0.422999999999,0.2813673442352235
W1,fluxv_old,CL,0.9775,0.4357,0.2962817562696533
W1,fluxv_old,CL,0.98,0.4484,0.31145712526152725
W1,fluxv_old,CL,0.9825,0.4611,0.3266324942534019
W1,fluxv_old,CL,0.985,0.477599999999,0.3419099758969178
W1,fluxv_old,CL,0.9875,0.4965,0.3574937954953602
