figure,case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
9,razak2014_fig9,old,0.625,0.49663720801722083,-0.028728053465299556,,,,
9,razak2014_fig9,old,0.6328125,0.48923836976226465,-0.02594285065779464,,,,
9,razak2014_fig9,old,0.640625,0.4816986891813304,-0.02306681720780668,,,,
9,razak2014_fig9,old,0.6484375,0.4740648161612242,-0.02011489939478868,,,,
9,razak2014_fig9,old,0.65625,0.466380938185028,-0.01710221145064521,,,,
9,razak2014_fig9,old,0.6640625,0.45868840524446985,-0.014043917175630355,,,,
9,razak2014_fig9,old,0.671875,0.4510254140200516,-0.010955111729405251,,,,
9,razak2014_fig9,old,0.6796875,0.44342674555811573,-0.007850703727260148,,,,
9,razak2014_fig9,old,0.6875,0.43592358202240117,-0.004745303318003973,,,,
9,razak2014_fig9,old,0.6953125,0.428543399536477,-0.0016531155109029557,,,,
9,razak2014_fig9,old,0.703125,0.421309908848864,0.0014121623107193405,,,,
9,razak2014_fig9,old,0.7109375,0.4142430670789898,0.004437434737007324,,,,
9,razak2014_fig9,old,0.71875,0.4073591482808891,0.007410294944569615,,,,
9,razak2014_fig9,old,0.7265625,0.40067085561600396,0.010319103235574011,,,,
9,razak2014_fig9,old,0.734375,0.39418748850218094,0.013153056228236822,,,,
9,razak2014_fig9,old,0.7421875,0.38791514922140174,0.01590224495368644,,,,
9,razak2014_fig9,old,0.75,0.38185698021741704,0.01855770212310174,,,,
9,razak2014_fig9,old,0.7578125,0.3760134333863891,0.021111439456447407,,,,
9,razak2014_fig9,old,0.765625,0.37038256205913067,0.023556475051266217,,,,
9,razak2014_fig9,old,0.7734375,0.3649603265073771,0.0258868502599497,,,,
9,razak2014_fig9,old,0.78125,0.3597409072677838,0.02809763606093711,,,,
9,razak2014_fig9,old,0.7890625,0.35471701862997057,0.03018492919728054,,,,
9,razak2014_fig9,old,0.796875,0.3498802233636072,0.032145838409562616,,,,
9,razak2014_fig9,old,0.8046875,0.3452212372448091,0.03397846146386182,,,,
9,razak2014_fig9,old,0.8125,0.3407302238588659,0.03568185350597287,,,,
9,razak2014_fig9,old,0.8203125,0.3363970727915178,0.03725598760412359,,,,
9,razak2014_fig9,old,0.828125,0.33221165890735277,0.038701708087974074,,,,
9,razak2014_fig9,old,0.8359375,0.32816408030324734,0.04002067745850301,,,,
9,razak2014_fig9,old,0.84375,0.32424487222771625,0.041215317518211746,,,,
9,razak2014_fig9,old,0.8515625,0.3204451971623652,0.04228874535581774,,,,
9,razak2014_fig9,old,0.859375,0.3167570065276046,0.04324470545065299,,,,
9,razak2014_fig9,old,0.8671875,0.3131731745467725,0.044087498680581365,,,,
9,razak2014_fig9,old,0.875,0.3096875984644415,0.04482190930547684,,,,
9,razak2014_fig9,old,0.8828125,0.306295271229817,0.045453130424117055,,,,
9,razak2014_fig9,old,0.890625,0.3029923251199877,0.045986688474279426,,,,
9,razak2014_fig9,old,0.8984375,0.2997760541845708,0.04642836757013617,,,,
9,razak2014_fig9,old,0.90625,0.2966449117065932,0.0467841342534223,,,,
9,razak2014_fig9,old,0.9140625,0.2935984879479609,0.04706006352755266,,,,
9,razak2014_fig9,old,0.921875,0.2906374670943136,0.04726226660475367,,,,
9,razak2014_fig9,old,0.9296875,0.2877635658016969,0.04739682089489232,,,,
9,razak2014_fig9,old,0.9375,0.2849794580813444,0.04746970270661153,,,,
9,razak2014_fig9,old,0.9453125,0.2822886871906647,0.047486722906072795,,,,
9,razak2014_fig9,old,0.953125,0.2796955693624636,0.04745346601049238,,,,
9,razak2014_fig9,old,0.9609375,0.27720509197724785,0.04737523286957251,,,,
9,razak2014_fig9,old,0.96875,0.27482280925251296,0.0472569873485328,,,,
9,razak2014_fig9,old,0.9765625,0.27255473846072736,0.047103307248849514,,,,
9,razak2014_fig9,old,0.984375,0.27040725961685064,0.046918339772835944,,,,
9,razak2014_fig9,old,0.9921875,0.26838702082117666,0.046705761712967656,,,,
9,razak2014_fig9,v4b,0.0,0.2665008142566375,0.04646873667058871,0.8156117907802692,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.0078125,0.26475568531149424,0.0462099191222253,0.8067476035075103,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.015625,0.26315846882262933,0.04593136510876382,0.7977399112439056,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.0234375,0.2617162724824697,0.045634579136041034,0.7886293940945422,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.03125,0.26043595239511896,0.045320455074394986,0.7794563764486149,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.0390625,0.25932437845915274,0.04498929138224694,0.7702605427383621,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.046875,0.2583883357579463,0.04464078145279176,0.7610807012056331,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.0546875,0.2576345389809134,0.04427401865190619,0.7519545955843616,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.0625,0.25706964987853387,0.043887507567033635,0.7429187636614139,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.0703125,0.25670030408675615,0.04347918152646203,0.7340084409299649,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.078125,0.2565331469247129,0.04304642607463758,0.725257507001551,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.0859375,0.25657487697581016,0.042586109349933204,0.716698472089391,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.09375,0.2568322893999063,0.042094619331437946,0.7083625007044534,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.1015625,0.25731231954182554,0.041567908326529214,0.7002794697011575,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.109375,0.2580220915517781,0.04100154374828379,0.692478057953986,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.1171875,0.25896895677581533,0.04039076454888566,0.6849858652222387,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.125,0.2601605225177921,0.039730542881165655,0.677829558152092,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.1328125,0.2616046780695179,0.03901565458085239,0.671035041860538,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.140625,0.26330960340244813,0.03824075398602061,0.6646276561364408,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.1484375,0.26528374927236975,0.037400446895808855,0.6586273694851607,0.0,0.0,0.0
9,razak2014_fig9,v4b,0.15625,0.26753581203108945,0.036489370864354956,0.6530420843713931,0.0,0.0,0.0
