benchmark,case_id,phase,strip_id,a0_pre,j,j_rate,supercritical_gate,chi_equilibrium,chi,chi_previous_cycle,chi_cycle_difference,loss_fraction,separated_CSf,target_CS,delta_CS_2d,delta_CS_projected,delta_CL_projected,delta_CD_projected,delta_CN,transient_owner,incidence_source,canonical_eligible
yang2025,aoa_20,0.65625,1,0.11074110106451239,1.6144539349360532,1.757006283643393,0.3805955200328407,0.40073423966668725,0.18262293434567103,0.18262293434567103,0.0,0.06950547066721399,0.04772785152836892,0.04441050474395473,-0.003317346784414192,-0.0007971325414297847,-0.00027263538606936953,0.0007490595669698861,0.0,0.032662235875092094,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.6640625,1,0.10753554573190491,1.522341442335822,1.9440245917909822,0.3431171403534554,0.40013010891635853,0.19932189638590575,0.19932189638590575,0.0,0.06839075909775973,0.04772785152836888,0.04446370753223856,-0.003264143996130321,-0.0007843483266364669,-0.00026826292709345286,0.0007370463346660634,0.0,0.032369741222549986,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.671875,1,0.10784439844241832,1.5310986300779539,0.8688941641170961,0.3468742115267347,0.23159495769181454,0.20263363674787993,0.20263363674787993,0.0,0.07028838297571563,0.04772785152836888,0.044373138021534794,-0.003354713506834084,-0.0008061114731915811,-0.0002757063615974505,0.0007574970028889863,0.0,0.032079674378080125,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.6796875,1,0.10985212585830217,1.588637884216253,0.423853629684049,0.3705299301147251,0.1357334548380235,0.19834772783090054,0.19834772783090054,0.0,0.0734937697315981,0.04772785152836883,0.04422015179835899,-0.0035076997300098403,-0.0008428728686105921,-0.00028827949932751224,0.0007920414148940239,0.0,0.03179248333839313,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.6875,1,0.10910700403007818,1.5671596621599806,1.1777695541023188,0.36190292275534797,0.2988548692803674,0.2033004915981143,0.2033004915981143,0.0,0.07357504210695663,0.0477278515283688,0.04421627284249449,-0.00351157868587431,-0.0008438049514307742,-0.0002885982904272623,0.0007929172862421104,0.0,0.03150860872641703,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.6953125,1,0.09986827503575596,1.3129950252430675,3.0349275581774027,0.2383824913465491,0.4197764303297593,0.21064332700736005,0.21064332700736005,0.0,0.05021368107754032,0.047727851528368864,0.045331260413207154,-0.00239659111516171,-0.0005758821403214412,-0.00019696329217143218,0.0005411521977024534,0.0,0.031228481168025013,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.703125,1,0.11053441298305787,1.608433099241622,1.0824006975489697,0.3782769078356438,0.29050197278069395,0.2236672658367016,0.2236672658367016,0.0,0.08460816170476042,0.047727851528368725,0.04368968574843571,-0.004038165779933017,-0.0009703397202837892,-0.0003318757302060509,0.0009118210748061392,0.0,0.030952518284206754,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.7109375,1,0.11330398249757685,1.6900452527038683,1.4321846994842904,0.40829986747389113,0.3689899538855946,0.22354644205137797,0.22354644205137797,0.0,0.0912739826638375,0.04772785152836879,0.04337154043538625,-0.00435631109298254,-0.0010467875559838859,-0.0003580224299291351,0.0009836585418885736,0.0,0.030681121371781472,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.71875,1,0.11205124273855481,1.6528800524825278,0.5644386908347888,0.39499542117526354,0.18230554895062923,0.21519827110235876,0.21519827110235876,0.0,0.08500233173026474,0.04772785152836884,0.04367087285998161,-0.00405697866838723,-0.0009748603105505647,-0.00033342186313701003,0.0009160690401214247,0.0,0.030414671884537836,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_20,0.7265625,1,0.11710088974233279,1.805212670576651,1.9607558752325949,0.446048647730484,0.4665507322588213,0.2204072395840105,0.2204072395840105,0.0,0.0983123511664567,0.04772785152836877,0.04303561422849127,-0.0046922372998775,-0.001127508001700668,-0.0003856304483425008,0.001059510949075183,0.0,0.030153527861901286,kinematic_proxy_no_uvlm_induction,false
