paper,scope,case_id,view,model_id,observable,n,aggregation,mae,rmse,bias,max_abs_error,reference_model,rmse_improvement_pct
izraelevitz2017_fig14,condition,theta_15_psi_105,cycle_mean,fluxv_v3,CT,1,single_unique_condition,0.0018869675713630296,0.0018869675713630296,0.0018869675713630296,0.0018869675713630296,,
izraelevitz2017_fig14,condition,theta_15_psi_15,cycle_mean,fluxv_v3,CT,1,single_unique_condition,0.10709034778143448,0.10709034778143448,0.10709034778143448,0.10709034778143448,,
izraelevitz2017_fig14,condition,theta_15_psi_30,cycle_mean,fluxv_v3,CT,1,single_unique_condition,0.04818520012246977,0.04818520012246977,0.04818520012246977,0.04818520012246977,,
izraelevitz2017_fig14,condition,theta_15_psi_45,cycle_mean,fluxv_v3,CT,1,single_unique_condition,0.020975564036396166,0.020975564036396166,-0.020975564036396166,0.020975564036396166,,
izraelevitz2017_fig14,condition,theta_15_psi_60,cycle_mean,fluxv_v3,CT,1,single_unique_condition,0.03177074565131713,0.03177074565131713,-0.03177074565131713,0.03177074565131713,,
izraelevitz2017_fig14,condition,theta_15_psi_75,cycle_mean,fluxv_v3,CT,1,single_unique_condition,0.023476077390905736,0.023476077390905736,-0.023476077390905736,0.023476077390905736,,
izraelevitz2017_fig14,condition,theta_15_psi_90,cycle_mean,fluxv_v3,CT,1,single_unique_condition,0.017482054699630267,0.017482054699630267,-0.017482054699630267,0.017482054699630267,,
izraelevitz2017_fig14,condition,theta_25_psi_105,cycle_mean,fluxv_v3,CT,1,single_unique_condition,0.03550114326266626,0.03550114326266626,0.03550114326266626,0.03550114326266626,,
izraelevitz2017_fig14,condition,theta_25_psi_45,cycle_mean,fluxv_v3,CT,1,single_unique_condition,0.03448771629248708,0.03448771629248708,0.03448771629248708,0.03448771629248708,,
izraelevitz2017_fig14,condition,theta_25_psi_60,cycle_mean,fluxv_v3,CT,1,single_unique_condition,0.0021160764446421787,0.0021160764446421787,-0.0021160764446421787,0.0021160764446421787,,
