paper,case_id,view,x_name,x_value,replicate,observable,units,model_id,model_label,data_role,value,uncertainty_minus,uncertainty_plus,uncertainty_kind,canonical_eligible,source_path
yang2025,aoa_25,cycle_mean,installation_aoa_deg,25.0,,lift,gf,fluxv_v3,FluxV v3 persistent owner,local_model,50.360359598902754,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v3_persistent_full/yang2025_v3_mean_characteristics.csv
yang2025,aoa_25,cycle_mean,installation_aoa_deg,25.0,,drag,gf,fluxv_v3,FluxV v3 persistent owner,local_model,28.53029980950963,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v3_persistent_full/yang2025_v3_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,lift,gf,fluxv_old,FluxV old,local_model,0.17966689728066976,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,drag,gf,fluxv_old,FluxV old,local_model,-6.564251970690437,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,lift,gf,fluxv_v1_v2,FluxV v1/v2,local_model,0.1835788672701965,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,drag,gf,fluxv_v1_v2,FluxV v1/v2,local_model,-2.206373100948329,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,lift,gf,fluxv_v4b,FluxV v4b,local_model,-0.4074719045522039,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,drag,gf,fluxv_v4b,FluxV v4b,local_model,-2.7348321010447254,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,lift,gf,fluxv_old,FluxV old,local_model,13.717087816289936,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,drag,gf,fluxv_old,FluxV old,local_model,-6.017767997458367,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,lift,gf,fluxv_v1_v2,FluxV v1/v2,local_model,12.503561871207204,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,drag,gf,fluxv_v1_v2,FluxV v1/v2,local_model,-0.8730589450842983,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_v4_ldvm_stevens_20260812/runs/20260812_fluxv_v4b_crosspaper_full/yang2025_v4_mean_characteristics.csv
