model,theta_max_deg,phase_offset_deg,phase,CT
v5c0_corrected_v4b_075c,15.0,30.0,0.1328125,0.2839057888195987
v4b_legacy_025c,15.0,30.0,0.140625,0.3124215551974927
v5c0_corrected_v4b_075c,15.0,30.0,0.140625,0.3232427899470059
v4b_legacy_025c,15.0,30.0,0.1484375,0.3502870606221401
v5c0_corrected_v4b_075c,15.0,30.0,0.1484375,0.3611602753279511
v4b_legacy_025c,15.0,30.0,0.15625,0.3860686377442161
v5c0_corrected_v4b_075c,15.0,30.0,0.15625,0.39690768787782654
v4b_legacy_025c,15.0,30.0,0.1640625,0.419835854090408
v5c0_corrected_v4b_075c,15.0,30.0,0.1640625,0.4305548492503026
v4b_legacy_025c,15.0,30.0,0.171875,0.45098971013221617
v5c0_corrected_v4b_075c,15.0,30.0,0.171875,0.4615048519969613
v4b_legacy_025c,15.0,30.0,0.1796875,0.4799189266419882
v5c0_corrected_v4b_075c,15.0,30.0,0.1796875,0.49015026684604585
v4b_legacy_025c,15.0,30.0,0.1875,0.5053177541834133
v5c0_corrected_v4b_075c,15.0,30.0,0.1875,0.5151908183395867
v4b_legacy_025c,15.0,30.0,0.1953125,0.5273138729702005
v5c0_corrected_v4b_075c,15.0,30.0,0.1953125,0.5367611040296403
v4b_legacy_025c,15.0,30.0,0.203125,0.5464193493706032
v5c0_corrected_v4b_075c,15.0,30.0,0.203125,0.5553813318252221
v4b_legacy_025c,15.0,30.0,0.2109375,0.5587452803515784
v5c0_corrected_v4b_075c,15.0,30.0,0.2109375,0.5671717160365514
v4b_legacy_025c,15.0,30.0,0.21875,0.570333550681088
v5c0_corrected_v4b_075c,15.0,30.0,0.21875,0.5781839667171456
v4b_legacy_025c,15.0,30.0,0.2265625,0.5775477887445263
v5c0_corrected_v4b_075c,15.0,30.0,0.2265625,0.5847919680740676
v4b_legacy_025c,15.0,30.0,0.234375,0.5802295903152725
v5c0_corrected_v4b_075c,15.0,30.0,0.234375,0.5868477249624209
v4b_legacy_025c,15.0,30.0,0.2421875,0.5819740443788717
v5c0_corrected_v4b_075c,15.0,30.0,0.2421875,0.587956620669456
v4b_legacy_025c,15.0,30.0,0.25,0.573332015574696
v5c0_corrected_v4b_075c,15.0,30.0,0.25,0.5786794488039897
v4b_legacy_025c,15.0,30.0,0.2578125,0.5667013780311236
v5c0_corrected_v4b_075c,15.0,30.0,0.2578125,0.5714234212364263
v4b_legacy_025c,15.0,30.0,0.265625,0.5504737387221564
v5c0_corrected_v4b_075c,15.0,30.0,0.265625,0.5545886961344051
v4b_legacy_025c,15.0,30.0,0.2734375,0.5305715166806851
v5c0_corrected_v4b_075c,15.0,30.0,0.2734375,0.5341052969841008
v4b_legacy_025c,15.0,30.0,0.28125,0.5082602901591156
v5c0_corrected_v4b_075c,15.0,30.0,0.28125,0.5112453378268468
v4b_legacy_025c,15.0,30.0,0.2890625,0.4858042456822695
v5c0_corrected_v4b_075c,15.0,30.0,0.2890625,0.4882783903764073
v4b_legacy_025c,15.0,30.0,0.296875,0.46075507629440315
v5c0_corrected_v4b_075c,15.0,30.0,0.296875,0.4627603406604932
v4b_legacy_025c,15.0,30.0,0.3046875,0.43227596970388454
v5c0_corrected_v4b_075c,15.0,30.0,0.3046875,0.4339699191206944
v4b_legacy_025c,15.0,30.0,0.3125,0.3998670495486884
v5c0_corrected_v4b_075c,15.0,30.0,0.3125,0.40140846220091675
v4b_legacy_025c,15.0,30.0,0.3203125,0.36543743638524145
v5c0_corrected_v4b_075c,15.0,30.0,0.3203125,0.3668180038131273
v4b_legacy_025c,15.0,30.0,0.328125,0.33022547334597746
v5c0_corrected_v4b_075c,15.0,30.0,0.328125,0.33134390979566086
v4b_legacy_025c,15.0,30.0,0.3359375,0.2940494273399889
v5c0_corrected_v4b_075c,15.0,30.0,0.3359375,0.2946725426367583
v4b_legacy_025c,15.0,30.0,0.34375,0.25880784396440076
v5c0_corrected_v4b_075c,15.0,30.0,0.34375,0.258978563318738
v4b_legacy_025c,15.0,30.0,0.3515625,0.21560384320071097
v5c0_corrected_v4b_075c,15.0,30.0,0.3515625,0.21555028254258837
v4b_legacy_025c,15.0,30.0,0.359375,0.18177719705554438
v5c0_corrected_v4b_075c,15.0,30.0,0.359375,0.18165172166223442
v4b_legacy_025c,15.0,30.0,0.3671875,0.1360940439837809
v5c0_corrected_v4b_075c,15.0,30.0,0.3671875,0.13592650961898445
v4b_legacy_025c,15.0,30.0,0.375,0.08974429941145771
v5c0_corrected_v4b_075c,15.0,30.0,0.375,0.08955279942730926
v4b_legacy_025c,15.0,30.0,0.3828125,0.03393066813843403
v5c0_corrected_v4b_075c,15.0,30.0,0.3828125,0.03373368981509448
v4b_legacy_025c,15.0,30.0,0.390625,-0.014207453601063366
v5c0_corrected_v4b_075c,15.0,30.0,0.390625,-0.014391077418126617
v4b_legacy_025c,15.0,30.0,0.3984375,-0.06400871103150166
v5c0_corrected_v4b_075c,15.0,30.0,0.3984375,-0.06415986016754269
v4b_legacy_025c,15.0,30.0,0.40625,-0.14333084587802947
v5c0_corrected_v4b_075c,15.0,30.0,0.40625,-0.14343018662318954
v4b_legacy_025c,15.0,30.0,0.4140625,-0.18184743054353927
v5c0_corrected_v4b_075c,15.0,30.0,0.4140625,-0.18187551053166112
v4b_legacy_025c,15.0,30.0,0.421875,-0.21416808717253763
v5c0_corrected_v4b_075c,15.0,30.0,0.421875,-0.21410545626480587
v4b_legacy_025c,15.0,30.0,0.4296875,-0.24581510850675958
v5c0_corrected_v4b_075c,15.0,30.0,0.4296875,-0.24564246949940213
v4b_legacy_025c,15.0,30.0,0.4375,-0.2564419726575791
v5c0_corrected_v4b_075c,15.0,30.0,0.4375,-0.2561403640297021
v4b_legacy_025c,15.0,30.0,0.4453125,-0.280293527848435
v5c0_corrected_v4b_075c,15.0,30.0,0.4453125,-0.2798445387059661
v4b_legacy_025c,15.0,30.0,0.453125,-0.2857777418451492
v5c0_corrected_v4b_075c,15.0,30.0,0.453125,-0.2851637568075136
v4b_legacy_025c,15.0,30.0,0.4609375,-0.3123864830836885
v5c0_corrected_v4b_075c,15.0,30.0,0.4609375,-0.31159095227249445
v4b_legacy_025c,15.0,30.0,0.46875,-0.32002559561406
v5c0_corrected_v4b_075c,15.0,30.0,0.46875,-0.3190333223622994
v4b_legacy_025c,15.0,30.0,0.4765625,-0.3141063888214557
v5c0_corrected_v4b_075c,15.0,30.0,0.4765625,-0.3129038254824905
v4b_legacy_025c,15.0,30.0,0.484375,-0.3092560377530386
v5c0_corrected_v4b_075c,15.0,30.0,0.484375,-0.3078315783026242
