case,phase_t_over_T,variable,value
W3,0.66927592955,cl,0.203980099502
W3,0.671232876712,cl,0.18407960199
W3,0.673189823875,cl,0.174129353234
W3,0.675146771037,cl,0.154228855721
W3,0.6771037182,cl,0.144278606965
W3,0.679060665362,cl,0.124378109453
W3,0.681017612524,cl,0.114427860697
W3,0.682974559687,cl,0.0945273631841
W3,0.684931506849,cl,0.0845771144279
W3,0.686888454012,cl,0.0646766169154
W3,0.688845401174,cl,0.0547263681592
W3,0.690802348337,cl,0.044776119403
W3,0.692759295499,cl,0.0248756218905
W3,0.694716242661,cl,0.0149253731343
W3,0.696673189824,cl,0.00497512437811
W3,0.698630136986,cl,-0.0149253731343
W3,0.700587084149,cl,-0.0248756218905
W3,0.702544031311,cl,-0.0348258706468
W3,0.704500978474,cl,-0.0547263681592
W3,0.706457925636,cl,-0.0646766169154
W3,0.708414872798,cl,-0.0746268656716
W3,0.710371819961,cl,-0.0945273631841
W3,0.712328767123,cl,-0.10447761194
W3,0.714285714286,cl,-0.114427860697
W3,0.716242661448,cl,-0.124378109453
W3,0.718199608611,cl,-0.134328358209
W3,0.720156555773,cl,-0.144278606965
W3,0.722113502935,cl,-0.154228855721
W3,0.724070450098,cl,-0.164179104478
W3,0.72602739726,cl,-0.174129353234
W3,0.727984344423,cl,-0.18407960199
W3,0.729941291585,cl,-0.194029850746
W3,0.731898238748,cl,-0.203980099502
W3,0.73385518591,cl,-0.213930348259
W3,0.735812133072,cl,-0.223880597015
W3,0.737769080235,cl,-0.223880597015
W3,0.739726027397,cl,-0.233830845771
W3,0.74168297456,cl,-0.243781094527
W3,0.743639921722,cl,-0.253731343284
W3,0.745596868885,cl,-0.26368159204
W3,0.747553816047,cl,-0.26368159204
W3,0.749510763209,cl,-0.273631840796
W3,0.751467710372,cl,-0.273631840796
W3,0.753424657534,cl,-0.283582089552
W3,0.755381604697,cl,-0.293532338308
W3,0.757338551859,cl,-0.293532338308
W3,0.759295499022,cl,-0.303482587065
W3,0.761252446184,cl,-0.303482587065
W3,0.763209393346,cl,-0.303482587065
W3,0.765166340509,cl,-0.313432835821
W3,0.767123287671,cl,-0.313432835821
W3,0.769080234834,cl,-0.313432835821
W3,0.771037181996,cl,-0.323383084577
W3,0.772994129159,cl,-0.323383084577
W3,0.774951076321,cl,-0.323383084577
W3,0.776908023483,cl,-0.323383084577
W3,0.778864970646,cl,-0.333333333333
W3,0.780821917808,cl,-0.333333333333
W3,0.782778864971,cl,-0.333333333333
W3,0.784735812133,cl,-0.333333333333
W3,0.786692759295,cl,-0.333333333333
W3,0.788649706458,cl,-0.333333333333
W3,0.79060665362,cl,-0.333333333333
W3,0.792563600783,cl,-0.333333333333
W3,0.794520547945,cl,-0.323383084577
W3,0.796477495108,cl,-0.323383084577
W3,0.79843444227,cl,-0.323383084577
W3,0.800391389432,cl,-0.323383084577
W3,0.802348336595,cl,-0.323383084577
W3,0.804305283757,cl,-0.313432835821
W3,0.80626223092,cl,-0.313432835821
W3,0.808219178082,cl,-0.313432835821
W3,0.810176125245,cl,-0.303482587065
W3,0.812133072407,cl,-0.303482587065
W3,0.814090019569,cl,-0.303482587065
W3,0.816046966732,cl,-0.293532338308
W3,0.818003913894,cl,-0.293532338308
W3,0.819960861057,cl,-0.283582089552
W3,0.821917808219,cl,-0.283582089552
W3,0.823874755382,cl,-0.273631840796
W3,0.825831702544,cl,-0.26368159204
W3,0.827788649706,cl,-0.26368159204
W3,0.829745596869,cl,-0.253731343284
W3,0.831702544031,cl,-0.253731343284
W3,0.833659491194,cl,-0.243781094527
W3,0.835616438356,cl,-0.233830845771
W3,0.837573385519,cl,-0.223880597015
W3,0.839530332681,cl,-0.223880597015
W3,0.841487279843,cl,-0.213930348259
W3,0.843444227006,cl,-0.203980099502
W3,0.845401174168,cl,-0.194029850746
W3,0.847358121331,cl,-0.194029850746
W3,0.849315068493,cl,-0.18407960199
W3,0.851272015656,cl,-0.174129353234
W3,0.853228962818,cl,-0.164179104478
W3,0.85518590998,cl,-0.154228855721
W3,0.857142857143,cl,-0.144278606965
W3,0.859099804305,cl,-0.134328358209
W3,0.861056751468,cl,-0.124378109453
W3,0.86301369863,cl,-0.114427860697
W3,0.864970645793,cl,-0.10447761194
