aoa_deg,model,phase,lift_n,drag_n,CL,CD,CT
5.0,fluxv_periodic_v3_persistent,0.1796875,-0.03742386933693034,-0.002820804921823919,-0.06189632046794593,-0.004665403351183612,0.004665403351183612
5.0,fluxv_periodic_v3_persistent,0.1875,-0.014371737413018365,0.0027319140527258604,-0.02376979399400388,0.0045183844079836845,-0.0045183844079836845
5.0,fluxv_periodic_v3_persistent,0.1953125,0.008406823533019941,0.007888766956159025,0.013904266254045046,0.013047438874352712,-0.013047438874352712
5.0,fluxv_periodic_v3_persistent,0.203125,0.030871895479646805,0.012593761572484256,0.05105983881189678,0.020829153051209498,-0.020829153051209498
5.0,fluxv_periodic_v3_persistent,0.2109375,0.05299019878569669,0.016794934223954255,0.08764188160690795,0.02777758284705504,-0.02777758284705504
5.0,fluxv_periodic_v3_persistent,0.21875,0.07465170328671467,0.020308270103301072,0.12346841286004524,0.03358838133883441,-0.03358838133883441
5.0,fluxv_periodic_v3_persistent,0.2265625,0.09587348513825471,0.023110342680455247,0.15856767527350002,0.03822280277314685,-0.03822280277314685
5.0,fluxv_periodic_v3_persistent,0.234375,0.1167354710855887,0.025286244831613104,0.19307186179062527,0.0418215844929744,-0.0418215844929744
5.0,fluxv_periodic_v3_persistent,0.2421875,0.13725850839771875,0.02683265972212468,0.22701545225719588,0.04437924069836984,-0.04437924069836984
5.0,fluxv_periodic_v3_persistent,0.25,0.15746767537641984,0.027751790605161177,0.2604399243352217,0.04589941540762345,-0.04589941540762345
5.0,fluxv_periodic_v3_persistent,0.2578125,0.1773145785018179,0.027834954646558364,0.2932652387110835,0.04603696260006862,-0.04603696260006862
5.0,fluxv_periodic_v3_persistent,0.265625,0.19695887964123066,0.027358752943048105,0.3257554643408009,0.04524936009476684,-0.04524936009476684
5.0,fluxv_periodic_v3_persistent,0.2734375,0.216435825409627,0.026356354301736377,0.3579688965266548,0.04359146665299925,-0.04359146665299925
5.0,fluxv_periodic_v3_persistent,0.28125,0.2357796013416171,0.02486234464906801,0.3899620756222509,0.0411204848469434,-0.0411204848469434
5.0,fluxv_periodic_v3_persistent,0.2890625,0.2550160156025015,0.02284982604009308,0.4217776864300543,0.037791927458947924,-0.037791927458947924
5.0,fluxv_periodic_v3_persistent,0.296875,0.27419552190258745,0.020370242202310686,0.45349917566675446,0.03369087862113935,-0.03369087862113935
5.0,fluxv_periodic_v3_persistent,0.3046875,0.29335903821431575,0.017558665167503366,0.48519421864171847,0.029040737514671244,-0.029040737514671244
5.0,fluxv_periodic_v3_persistent,0.3125,0.3124543778437642,0.014235601434285775,0.5167765024111378,0.023544635123044094,-0.023544635123044094
5.0,fluxv_periodic_v3_persistent,0.3203125,0.3312487456375255,0.009913024232369463,0.5478610009562183,0.016395411152415655,-0.016395411152415655
5.0,fluxv_periodic_v3_persistent,0.328125,0.3496542417010319,0.004923961518408654,0.5783023343325643,0.008143869287575238,-0.008143869287575238
5.0,fluxv_periodic_v3_persistent,0.3359375,0.36768516392835515,-1.130017625310814e-05,0.6081241502027283,-1.868965831431114e-05,1.868965831431114e-05
5.0,fluxv_periodic_v3_persistent,0.34375,0.38551602947815977,-0.004438461802551995,0.6376150870792754,-0.007340888555433088,0.007340888555433088
5.0,fluxv_periodic_v3_persistent,0.3515625,0.403264454222525,-0.008363544712675176,0.6669696729423245,-0.013832686276319686,0.013832686276319686
5.0,fluxv_periodic_v3_persistent,0.359375,0.4209627910539403,-0.011936098172346123,0.6962414170905417,-0.019741426279600162,0.019741426279600162
5.0,fluxv_periodic_v3_persistent,0.3671875,0.4386019822891999,-0.015255991565025363,0.7254153387837645,-0.025232285161739084,0.025232285161739084
5.0,fluxv_periodic_v3_persistent,0.375,0.45616507142209206,-0.01835986316918583,0.7544633932109918,-0.030365859933840188,0.030365859933840188
5.0,fluxv_periodic_v3_persistent,0.3828125,0.4736092425377364,-0.021289428367950343,0.783314766006004,-0.03521114476374237,0.03521114476374237
5.0,fluxv_periodic_v3_persistent,0.390625,0.49094626675301367,-0.024070006231534775,0.8119889257281895,-0.039810015526703824,0.039810015526703824
5.0,fluxv_periodic_v3_persistent,0.3984375,0.508146101322833,-0.026768890523192305,0.8404361838923426,-0.044273771145300206,0.044273771145300206
5.0,fluxv_periodic_v3_persistent,0.40625,0.5251020569716771,-0.029347203958914915,0.8684800843033956,-0.04853811145836382,0.04853811145836382
5.0,fluxv_periodic_v3_persistent,0.4140625,0.5418544063663349,-0.03184672019544304,0.8961872349827483,-0.05267212701400035,0.05267212701400035
5.0,fluxv_periodic_v3_persistent,0.421875,0.5583311610611118,-0.034267012684181496,0.9234385723492254,-0.05667511233228453,0.05667511233228453
5.0,fluxv_periodic_v3_persistent,0.4296875,0.5744890611523846,-0.036610975886383325,0.9501625477119641,-0.06055185463870841,0.06055185463870841
