model,phase,CL_alpha,CD_alpha,CL,CD,CT
fluxv_periodic_v3_persistent,0.1640625,2.6078616009404185,-1.6623850701959593,0.6749642493149302,-0.4302569164608051,0.4302569164608051
fluxv_periodic_v3_persistent,0.171875,2.7908833642302553,-1.8052019699929964,0.7223337673225853,-0.4672206500907766,0.4672206500907766
fluxv_periodic_v3_persistent,0.1796875,2.9773921231386677,-1.9515153717968743,0.7706057862065169,-0.5050893450313577,0.5050893450313577
fluxv_periodic_v3_persistent,0.1875,3.1669408270687747,-2.100403154887051,0.8196646007581275,-0.5436243388781886,0.5436243388781886
fluxv_periodic_v3_persistent,0.1953125,3.358933870268428,-2.250797695139846,0.8693560568653887,-0.5825493101750495,0.5825493101750495
fluxv_periodic_v3_persistent,0.203125,3.5526331323207576,-2.4014857357161263,0.9194891149068357,-0.6215502449453723,0.6215502449453723
fluxv_periodic_v3_persistent,0.2109375,3.7471635002660335,-2.551112910537106,0.969837278981874,-0.6602766074539262,0.6602766074539262
fluxv_periodic_v3_persistent,0.21875,3.9415180209511855,-2.6981931324033805,1.0201399304369632,-0.6983437700308223,0.6983437700308223
fluxv_periodic_v3_persistent,0.2265625,4.134562954143649,-2.8411229790395987,1.0701036357077165,-0.735336736453858,0.735336736453858
fluxv_periodic_v3_persistent,0.234375,4.32504310118934,-2.978201110628787,1.11940352547707,-0.7708151675762094,0.7708151675762094
fluxv_periodic_v3_persistent,0.2421875,4.511587867642088,-3.1076526321232016,1.167684863799243,-0.8043196867564623,0.8043196867564623
fluxv_periodic_v3_persistent,0.25,4.692718578479973,-3.2276581748661948,1.2145649414170452,-0.8353794067362135,0.8353794067362135
fluxv_periodic_v3_persistent,0.2578125,4.8668575975367565,-3.3363873178109187,1.2596354360444115,-0.8635205796879823,0.8635205796879823
fluxv_periodic_v3_persistent,0.265625,5.032339806023063,-3.432035803616438,1.3024653832262936,-0.8882762294496688,0.8882762294496688
fluxv_periodic_v3_persistent,0.2734375,5.1874269652052805,-3.512865834423759,1.3426048936734978,-0.909196580838827,0.909196580838827
fluxv_periodic_v3_persistent,0.28125,5.33032542399148,-3.577248563050091,1.379589736323164,-0.925860057182989,0.925860057182989
fluxv_periodic_v3_persistent,0.2890625,5.45920753205601,-3.6237077349043783,1.4129468804632255,-0.9378845756785695,0.9378845756785695
fluxv_periodic_v3_persistent,0.296875,5.572236984126898,-3.650963292329623,1.4422010553166738,-0.9449388330251084,0.9449388330251084
fluxv_periodic_v3_persistent,0.3046875,5.6675981527608785,-3.657973634252476,1.466882341922381,-0.9467532430274233,0.9467532430274233
fluxv_periodic_v3_persistent,0.3125,5.743529269876524,-3.6439751383389427,1.4865347611478201,-0.9431301656822111,0.9431301656822111
fluxv_periodic_v3_persistent,0.3203125,5.798359096674816,-3.608517507461455,1.5007257645628906,-0.9339530555169021,0.9339530555169021
fluxv_periodic_v3_persistent,0.328125,5.830546485501213,-3.5514935039338216,1.5090564738032821,-0.9191941573759572,0.9191941573759572
fluxv_periodic_v3_persistent,0.3359375,5.838721994572828,-3.47316168856478,1.5111724512544247,-0.8989203917209949,0.8989203917209949
fluxv_periodic_v3_persistent,0.34375,5.821730478375767,-3.3741608907329557,1.5067747232574573,-0.8732970997617744,0.8732970997617744
fluxv_periodic_v3_persistent,0.3515625,5.778673353907619,-3.2555153016031992,1.495630719417751,-0.8425893616775848,0.8425893616775848
fluxv_periodic_v3_persistent,0.359375,5.708949048530225,-3.118629305097736,1.477584741279537,-0.8071606587741338,0.8071606587741338
fluxv_periodic_v3_persistent,0.3671875,5.612289979972286,-2.9652714374017553,1.4525675334548724,-0.7674687218981014,0.7674687218981014
fluxv_periodic_v3_persistent,0.375,5.488794314968501,-2.7975471916903025,1.4206045033642918,-0.7240584927825227,0.7240584927825227
fluxv_periodic_v3_persistent,0.3828125,5.33895070988935,-2.6178607544380346,1.3818221245829867,-0.6775522206750166,0.6775522206750166
